split,id,reason,question,answer_text,answer_start
train,0008-0004-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Einstein dùng tay trái hay tay phải để viết?,tay phải,412
train,0008-0019-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bức thư được cho là có khả năng gì?,húc đẩy chính phủ Hoa Kỳ chấp nhận cho phép nghiên cứu vũ khí hạt nhân,34
train,0008-0023-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Các bài báo ban đầu của Einstein đều bắt nguồn từ đâu?,ự cố gắng chứng minh rằng nguyên tử tồn tại và có kích thước hữu hạn khác không,47
train,0008-0029-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Trong bài báo về chuyển động Brown, Einstein chỉ ra tỉ số nghỉ động học đươc tính tóan từ cơ học cổ điển có thể được dùng như thế nào?",ỉ số nghỉ thống kê (statistical relaxation rates) để dẫn ra định luật khuếch tán động học,410
train,0008-0057-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tôi không tin vào một Chúa nhân cách hóa và tôi không bao giờ phủ định điều này và tôi đã biểu thị điều đó một cách rõ ràng được ông viết vào năm nào?,ăm 1954,450
train,0009-0003-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bộ phận nào phụ trách điều khiển hai camera trên hệ thống tàu?,hệ thống máy tính FDS,419
train,0010-0015-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Điều gì là bắt buộc đối với tất cả các thanh niên Đông Đức?,gia nhập NVA,36
train,0011-0008-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Marx đã có hành động gì với những người Hegel trẻ?,ánh giá lại mối quan hệ của mình,9
train,0011-0016-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Quan điểm của Hegel về lịch sử lòai người như thế nào?,ịch sử lòai người có đặc trưng bởi sự di chuyển từ sự tan rã tới tổng thể và thực tế,316
train,0011-0026-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Marx viết những nhận xét của mình về tầng lớp tư sản ở đâu?,"rong cuốn ""Phê phán cương lĩnh Gotha""",785
train,0014-0014-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Hãy nêu một số lọai xuất bản phẩm được lưu chiểu tại Thư viện Quốc gia Pháp?,"sách báo, tạp chí, bản đồ, tài liệu hình ảnh, âm thanh... tới các tập tin, huy hiệu..",132
train,0014-0025-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Hầu tước Paulmy là ai?,"một học giả, nhà ngọai giao danh tiếng, bộ trưởng của vua Louis XV",337
train,0015-0004-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Cường độ dòng điện dùng để điện phân đối với công nghệ Hall-Héroult hiện đại là bao nhiêu?,350.000 A,466
train,0017-0006-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tại sao nói người Ê Đê có xu hướng thống nhất ý thức dân tộc?,"anh giới khác biệt giữa các nhóm địa phương tồn tại trước kia thì ngày nay đã hòan tòan bị xóa bỏ bằng việc thống nhất tôn giáo, ngôn ngữ và chữ viết và người Ê Đê tự gọi họ là Anak Đê đọc tránh từ Anak Aê-Diê, nghĩa là những đứa con của Yàng (Thần Linh)",240
train,0017-0007-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Chế độ luân khỏanh là gì?,là bên cạnh những khu đất đang canh tác còn có những khu đất để hoang để phục hồi sự màu mỡ,348
train,0017-0008-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Người phụ nữ dân tộc Ê Đê có trách nhiêm gì đối với gia đình?,"quản lý gia đình,chăm sóc con cái, mồ mả tổ tiên,của cải thừa kế cho con cái.",354
train,0017-0010-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nửa Gah của nhà Ê Đê được sử dụng với mục đích gì?,"là nơi tiếp khách, sinh họat chung của cả nhà dài, bếp chủ, ghế khách, ghế chủ, ghế dài (Kpan) (tới 20 m), chiêng ché,..",1131
train,0017-0011-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Đạo Tin Lành được du nhập vào Việt Nam từ khi nào?,những năm đầu của thế kỷ XX,85
train,0017-0012-0003,ANSWER_LONGER_THAN_STRIDE: no overflow feature decoded exactly to the annotated answer,Người Ê Đê theo đạo Tin Lành phải tuân theo những điều cấm kị nào?,"Cấm hôn nhân ngọai giáo, không ăn thịt động vật chết hay thú vật cắn, không ăn thực phẩm liên quan cúng tế ngọai giáo, cấm thờ ảnh tượng,không ăn huyết động vật và những thức ăn chế biến từ huyết động vật, cấm dùng đồ uống có men như rượu, bia và thuốc lá, đưa tang ma vào lúc 9 giờ buổi sáng theo quan niệm phải mặt trời (ánh bình minh) chiếu xuống huyệt góc 60 độ về hướng Tây(?)..",506
train,0017-0016-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Theo người Ê Đê, Drah Hjan có ý nghĩa gì?","là "" mưa máu "" là giọt mưa nước mắt bằng máu của tổ tiên (atau) khóc cho con chaú dưới trần gian",484
train,0018-0002-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Đế quốc của người Ottoman đạt được đỉnh cao vào thời gian nào?,thế kỷ XV-XVII,569
train,0018-0002-0010,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Đỉnh cao phát triển của đế quốc của người Ottoman là vào giai đọan nào?,thế kỷ XV-XVII,569
train,0018-0008-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Triều đại hùng mạnh của Ottoman là triều đại nào?,triều đại của Suleiman I,88
train,0018-0018-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Hoa Kỳ đã giúp đỡ Thổ Nhĩ Kỳ trong những lĩnh vực nào?,"Thổ Nhĩ Kỳ nhận được hỗ trợ về chính trị, kinh tế và ngọai giao của Hoa Kỳ, bao gồm trong các vấn đề chủ chốt như Thổ Nhĩ Kỳ ứng cử gia nhập EU",307
train,0018-0038-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Khi nào thì quan niệm hội họa phương tây du nhập vào Thổ Nhĩ Kỳ?,từ giữa thế kỷ XIX,73
train,0019-0009-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Lưỡng cư đã có màng ối không?,không có màng ối,381
train,0019-0014-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Lưỡng cư có phải động vật hằng nhiệt hay không?,không,69
train,0020-0005-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bồ Đào Nha đã dùng tội danh gì gán cho Hội dòng Je-su?,mưu sát vua José I,202
train,0021-0025-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vì sao có sự khác biệt giữa các nền văn minh?,vì chúng hầu như có nguồn gốc độc lập,391
train,0022-0002-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Trong quãng thời gian ở Rome,những Bramante, Bernini và Raphael đã có những đóng góp gì cho nền văn hóa và sự phát triển của Roma?",ã góp phần cho nền kiến trúc Phục hưng và Baroque,515
train,0022-0011-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Việc suy giảm dân số tại Roma đã tác động như thế nào đến quy mô thành phố?,àm giảm quy mô thành phố còn một nhóm các tòa nhà có người ở nằm rải rác trên một khu vực lớn các tàn tích và vườn tược,660
train,0022-0013-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Trong khỏang thời gian Roma lâm vào tình trạng vô chính chủ phong kiến, thành phố đã có những thay đổi như thế nào ở giai cấp thống trị?","Theodora và con gái bà là Marozia trở thành thiếp và mẹ của một số giáo hòang, và của lãnh chúa phong kiến quyền lực Crescentius, là người đấu tranh chống các hòang đế Otto II và Otto III",373
train,0022-0020-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tại sao Lãnh thổ Giáo hòang tại Roma lại được Pháp bảo trợ?,nhờ vào chính sách đối ngọai của Napoléon III,320
train,0022-0023-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tại sao lại chia thành phố thành các municipi?,ể tăng cường phi tập trung hóa tại thành phố,181
train,0022-0043-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Một trong những tác phẩm kiến trúc biểu tượng của trường phái tân cổ điển La Mã là nơi nào?,à đài tưởng niệm liệt sĩ Vittorio Emanuele II,434
train,0022-0047-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những pho tượng cổ của Roma đã có những vai trò gì đối với đời sống?,"rở thành phương tiện truyền tải những lời diễn thuyết về các thảo luận chính trị và xã hội, là nơi để mọi người cất lên tiếng nói về quan điểm của họ (thông thường là châm biếm trào phúng)",134
train,0022-0065-0004,ANSWER_LONGER_THAN_STRIDE: no overflow feature decoded exactly to the annotated answer,Một số món ăn nổi tiếng của Roma là những món nào?,"""Saltimbocca alla Romana"" – cốt lết bê theo phong cách La Mã; đứng đầu với giăm bông tươi, cây xô thơm, ninh với rượu vang trắng và bơ; ""Carciofi alla giudia"" – atisô chiên trong dầu ô liu, món điển hình của người Do Thái La Mã; ""Carciofi alla Romana"" – atisô phong cách La Mã, lớp lá bên ngòai được tách bỏ, nhồi với bạc hà, tỏi, vụn bánh mì sau đó đem om; ""Spaghetti alla Carbonara""–spaghetti với thịt xông khói, trứng và pecorino; ""Gnocchi di semolino alla Romana""–bánh bao semolina theo phong cách La Mã",1327
train,0022-0073-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Ai đảm bảo điều hành mạng lưới xe búyt và xe điện?,do Trambus S. p. A. điều hành dưới sự bảo trợ của ATAC S. p. A,157
train,0027-0035-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nguồn nước ở thành phố luôn trong tình trạng ô nhiễm nặng là từ nguyên nhân gì?,nước thải không được xử lý đổ thẳng vào hệ thống sông ngò,279
train,0027-0042-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Sự đổi mới về thương mại ở thành phố Hồ Chí Minh như thế nào?,"Những thập niên gần đây, nhiều trung tâm thương mại hiện đại xuất hiện như Saigon Trade Centre, Diamond Plaza.",783
train,0027-0048-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những vấn đề nào ở thành phố gây ảnh hưởng xấu đến sức khỏe người dân?,"Các tệ nạn xã hội, như mại dâm, ma túy, tình trạng ô nhiễm môi trường..",161
train,0027-0048-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những căn bệnh phổ biến thường gặp phải ở thành phố Hồ Chí Minh?,"Những bệnh truyền nhiễm phổ biến ở các nước đang phát triển như sốt rét, sốt xuất huyết, tả, thương hàn... hay các bệnh của những quốc gia công nghiệp phát triển, như tim mạch, tăng huyết áp, ung thư, tâm thần, bệnh nghề nghiệp..",283
train,0028-0008-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Chất thải của kiến có tác dụng gì cho cây?,cấp một lượng phân bón hữu cơ,531
train,0030-0002-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Phiên bản nào sẽ thực hiện những thay đổi về sự điều chỉnh Giấy phép Tài liệu Tự do GNU?,Phiên bản 1.3 của GFDL,477
train,0030-0006-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những lập trình viên Debian đề xuất thay thế giấy phép Tài liệu Tự do GNU bằng những tài liệu nào khác?,"các giấy phép Creative Commons chia sẻ tương tự, Giấy phép Tài liệu BSD, hay thậm chí là sử dụng GNU GPL",333
train,0032-0011-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Thời kỳ Nam Bắc triều của Trung Quốc thì khu vực phía Bắc được sự cai quản của triều nào?,Bắc Ngụy,760
train,0032-0019-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Đại chiến Trung Nguyên đã có sự thắng lợi thuộc về ai?,Tưởng Giới Thạch,1106
train,0032-0027-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nhiệt độ trung bình tháng 7 tại Hà Nam là bao nhiêu?,24 °C-29 °C,400
train,0032-0037-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tổng GDP của khu vực ba tại Hà Nam đã giá trị bao nhiêu theo số liệu năm 2011?,"783,259 tỉ NDT",919
train,0035-0003-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Ai là người đầu tiên đảm nhiệm chức vụ viện trưởng của Viện Đại học Chicago?,William Rainey Harpe,482
train,0038-0004-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Người cổ đại đã chế tác đồ vật làm từ antimon theo cách nào?,làm cho antimon thành dễ uốn,743
train,0038-0006-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Theo lịch sử tuyền thống của giả kim thuật Trung Đông, Geber đã nghiên cứu về antimon từ khi nào?",từ thế kỷ VIII,147
train,0039-0016-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nguyên nhân chủ quan của việc đào thóat thất bại là gì?,tính thiếu quyết đóan,167
train,0042-0050-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những người phản đối Giáo hòang đã cho rằng quan điểm của Giáo hòang sẽ gây ra điều gì?,cái chết cho hàng triệu người và khiến hàng triệu người mồ côi vì bệnh AIDS,416
train,0044-0017-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Ngôi sao sử dụng khí heli làm nhiên liệu và có tuổi thọ ngắn được gọi là sao gì?,sao đỏ,457
train,0045-0004-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nền văn minh Thamud xuất hiện ở Hejaz từ khi nào?,thiên niên kỷ thứ nhất TCN,49
train,0045-0035-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Đỉnh núi cao nhất Ả Rập Xê Út có độ cao lên đến khỏang bao nhiêu km?,3,762
train,0045-0036-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nhiệt độ cao nhất đo được tại Ả Rập Xê Út là bao nhiêu?,54 °C,191
train,0046-0001-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vào thời gian nào thì tiếng Anh lan rộng ra khắp tòan thế giới?,từ thế kỷ XVII đến giữa thế kỷ XX,621
train,0047-0007-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Việc phân biệt rõ các dạng so sánh hơn và so sánh nhất không phổ biến trong nhiều ngôn ngữ, điều gì chứng minh điều đó?",nhiều ngôn ngữ khác không phân biệt rõ các dạng so sánh hơn và so sánh nhấ,624
train,0048-0008-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Mặc dù chi phí phần cứng tăng lên nhưng có một số hệ thống nhúng tăng trưởng rất mạnh, đó là những hệ thống nhúng nào?",trong các thiết bị nhúng mạnh như Wireless router hoặc hệ thống định vị GPS,547
train,0049-0004-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Niên đại của người đứng thẳng tại Bắc Kinh là bao nhiêu?,từ 230.000 đến 250.000 năm trước,293
train,0049-0008-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bắc Kinh từng đứng vị trí đầu bảng trong danh sách các thành phố lớn nhất trên thế giới trong khỏang thời gian nào?,"các thế kỷ XV, XVI, XVII, và XVIII",287
train,0049-0021-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Từ thế kỷ nào thì đã có cầu Ngọc Đới?,thế kỷ XVIII,346
train,0050-0012-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những hòn đảo nào là các đỉnh núi của những dãy núi ngầm dưới biển?,"hòn Tre, hòn Miếu, hòn Mun..",551
train,0050-0021-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Du khách khi đến với Khánh Hòa sẽ có các hình thức du lịch nào?,"du lịch sinh thái biển đảo, du lịch tham quan - vãn cảnh, du lịch văn hóa..",537
train,0050-0022-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Các ngành công nghiệp truyền thống phát triển tại Khánh Hòa là những ngành nào?,"công nghiệp đóng tàu, chế biến thủy hải sản, vật liệu xây dựng, may mặc..",167
train,0050-0025-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Cam Ranh là nơi tập trung cao của tôn giáo nào?,đạo Cao Đài,461
train,0050-0027-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tỉnh Khánh Hòa có các công trình nghiên cứu tiêu biểu nào?,"việc bảo tồn và phát triển trầm hương, kỳ nam, duy trì và nuôi dưỡng chim yến, nghiên cứu các hình thức nuôi trồng thủy sản trên biển,..",496
train,0050-0031-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những món ăn đặc sản nổi tiếng tại Khánh Hòa là gì?,"nem Ninh Hòa, bún cá Nha Trang, bún sứa, bánh ướt Diên Khánh..",60
train,0050-0031-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những món ăn tiêu biểu của nền ẩm thực Nha Trang là gì?,"phở Nha Trang, bánh mì Nha Trang, bò nướng Lạc Cảnh..",486
train,0051-0005-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Hồi giáo bắt đầu du nhập vào Malaysia vào khỏang thời gian nào?,Hồi giáo bắt đầu truyền bá trong cộng đồng người Mã Lai vào thế kỷ XIV,855
train,0051-0015-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Malaysia từng giữ những vị trí quan trọng nào tại các tổ chức, diễn đàn trên thế giới?","Malaysia từng giữ chức chủ tịch ASEAN, OIC, và NAM",263
train,0051-0020-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vườn quốc Kinabalu được thế giới công nhận như thế nào?,một di sản thế giới của UNESCO,370
train,0051-0043-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Trống và các nhạc cụ gõ truyền thống được làm chủ yếu bằng chất liệu gì?,thường được làm từ các vật liệu tự nhiên,310
train,0053-0028-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Jackson đã có yêu cầu gì khi Bill Clinton lên làm tổng thống?,công khai yêu cầu chính quyền Clinton tại Gala nhậm chức của Bill Clinton chu cấp thêm tiền cho những tổ chức từ thiện và nghiên cứu HIV/AIDS,103
train,0053-0032-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Jackson và Lisa bắt đầu tìm hiểu nhau vào lúc nào?,tháng 11 năm 1992 tại L.A,331
train,0053-0037-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,HIStory World Tour mang về cho Jackson khỏan thu bao nhiêu?,65 triệu đô-la Mỹ,114
train,0053-0038-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tiền kiếm được từ Michael Jackson & Friends dùng cho việc gì?,"quyên góp cho Qũy Nelson Mandela cho trẻ em, các Hội Chữ thập đỏ và UNESCO",1087
train,0053-0045-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vì sao Jackson hợp tác với Colony Capital LLC?,Fortress chọn bán đi số nợ của Jackson cho Colony Capital LLC,158
train,0053-0047-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tình trạng sức khỏe của Jackson như thế nào trước khi mất?,bệnh viêm thanh quản,135
train,0054-0006-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Các cuộc thảm sát, tàn sát, hồi sinh đã ảnh hưởng đến trung tâm dân cự tập trung nhiều người Do Thái tòan thế giới vào thời gian nào?",cuối thế kỷ XX,536
train,0054-0025-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Khởi nghĩa Maqabim thành công trước sự lãnh đạo bởi những ai?,u sỹ Mattathias cùng với 5 người con trai của ông,174
train,0054-0030-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bao nhiêu bộ lạc được mô tả là con cháu hậu duệ thuộc dòng dõi của từng người con trai Jacob?,Mười ha,288
train,0054-0036-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Mellahs bắt đầu từ thế kỷ bao nhiêu?,thế kỷ XV và đặc biệt vào đầu thế kỷ XIX,304
train,0054-0041-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Người Sephardi Do Thái sống ở Bán đảo Iberia vào thời gian nào?,cuối thế kỷ XV,232
train,0054-0042-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Lãnh sự quán Tây Ban Nha Ángel Sanz Briz đã cứu sống được 5200 mạng người Do Thái ở Hungay bằng cách nào?,àm giấy tờ giả cho những người Do Thái Hungary,664
train,0054-0054-0004,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những nơi nào trong suốt chiều dài lịch sử có sự khác biệt đa văn hóa chủng tộc?,hế giới Hy Lạp cổ đại ở Châu Âu trước và sau Thời kỳ Khai sáng ở đế chế Hồi giáo Tây Ban Nha và Bồ đào nha Al-Andalus ở Bắc Phi và Trung Đông ở Ấn Độ ở Trung Hoa hay ngay cả thời kỳ hiện đại ở nước Mỹ và nước Do Thái Israe,709
train,0055-0001-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vị vua nào đã trị vì nước Pháp trong khỏang thời gian dài nhất?,Louis XIV,119
train,0055-0009-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Ba vị vua cuối cùng thống trị vương quốc Pháp là ai?,"Louis XVI, Louis XVIII, và Charles X",752
train,0055-0052-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vì sao trong đám tang của Madame de Pompadour mà nhà vua lại không thể có mặt?,vì đẳng cấp của hai người chênh lệch,197
train,0055-0075-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vì sao lúc đầu Encylopedie vẫn được thông qua và cho lưu hành rộng rãi?,vì các nhà kiểm sóat cho nó hòan tòan chỉ là tập hợp các bài báo khoa học,123
train,0056-0012-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Ukraina tham gia vào cuộc công nghiệp hóa Liên xô khi nào?,từ cuối thập niên 1920,8
train,0056-0022-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Phong trào Euromaidan có mục đích gì?,êu gọi Tổng thống Ukraina Viktor Yanukovych và chính phủ của thủ tướng Azarov từ chức,56
train,0056-0038-0005,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Từ năm 2016, nguồn cung cấp dầu khí đến từ đâu?",từ các nước EU,488
train,0056-0049-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Bước mới của Ukraina trong thể thao thế giới là gì?,ham gia đăng cai tổ chức Olympic Mùa đông năm 2018,447
train,0056-0055-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Vận tải đường sắt tại Ukraina có vai trò gì?,"óng vai trò quan trọng kết nối mọi vùng đô thị, cơ sở hải cảng và trung tâm công nghiệp quan trọng với các quốc gia láng giềng",296
