question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type,reader_method,retrieval_hit,latency_ms
0008-0002-0007,Lòai kiến vào kỷ Creta sinh sống nhiều nhất ở khu vực nào?,siêu lục địa Laurasia,khơi,True,False,0,0.0,,6.726462,3.44275,-6.726462,WRONG_SPAN,neural_span,True,8538.090900001407
0014-0008-0008,Nguyên nhân khiến đế quốc mãi trường tồn sau này là gì?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,8090.330300001369
0013-0001-0003,"Trước việc quốc hội không thông qua tiền chi phí cho chiến tranh với Tây Ban Nha và Pháp, nhà vua đã làm điều gì?",tiết kiệm tiền bằng cách cho quân sĩ sống nhờ nhà dân và buộc các nhà giàu phải cho triều đình vay tiền,địa của Tây Ban Nha ly khai đòi độc lập,True,False,0,0.0,,8.434128,1.713981,-8.434128,WRONG_SPAN,phrase_fallback,True,8269.512799997756
0004-0012-0009,Ai là người mời được Tổng thống Iraq Saddam Hussein trong buổi gặp mặt ngòai dự kiến hồi tháng 7 năm 1990?,,triệu tập Đại sứ,False,False,0,0.0,,2.599591,7.280723,-2.599591,UNANSWERABLE_FALSE_POSITIVE,neural_span,,8435.716299994965
0002-0007-0006,Lực lượng hải quân của lực lượng vũ trang Nouvelle-Calédonie gồm có những gì?,"hai tàu tuần tra lớp P400, một tàu đổ bộ lớp BATRAL, và một tàu tuần tra của Hiến binh Hàng hải","gồm hai tàu tuần tra lớp P400, một tàu đổ bộ lớp BATRAL, và một tàu tuần tra của Hiến binh",True,False,0,0.9302325581395349,,4.190462999999999,5.954694,-4.190463,SPAN_TOO_SHORT,neural_span,True,7253.316399997857
0004-0019-0005,Ả Rập Xê Út đã sử dụng bao nhiêu phi cơ F-15 để tuần tra trên bầu trời Hoa Kỳ?,,48,False,False,0,0.0,,-1.3399140000000003,10.895073,1.339914,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7932.828299999528
0007-0006-0003,Tại sao chính phủ Gruzia lại xóa quyền tự trị của Ossetia?,Người dân Ossetia đã tẩy chay cuộc bầu cử nghị viện Gruzia sau đó và tổ chức cuộc bầu cử của riêng mình,điều này đã,True,False,0,0.07692307692307691,,1.6009799999999998,8.543587,-1.600981,SPAN_TOO_SHORT,phrase_fallback,True,8971.9810999959
0017-0071-0002,Roosevelt đã bổ nhiệm James Farley cho vị trí gì?,Bộ trưởng Bưu điện Hoa Kỳ,làm Bộ trưởng Bưu điện,True,False,0,0.7272727272727272,,-1.436814,11.250062,1.436814,SPAN_TOO_SHORT,neural_span,True,8899.477900005877
0012-0040-0001,Ông cảm thấy điều gì về người Ấn?,"mọi người Ấn chính là da thịt của mình, máu mủ của mình",trở nên yêu,True,False,0,0.0,,4.4950980000000005,5.666962,-4.495098,WRONG_SPAN,neural_span,False,9526.421199996548
0001-0070-0003,Quán cafe xuất hiện thứ hai ở Paris nằm ở đâu?,quán Café Procope,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,8332.388200004061
0009-0014-0002,Một trong số ít người để Charles de Gaulle chỉ định làm lãnh đạo chính phủ là ai?,Mitterrand,Mitterrand là một trong số ít,True,False,0,0.2857142857142857,,1.9633179999999992,7.181324,-1.963318,SPAN_TOO_LONG,neural_span,True,8672.866900000372
0004-0003-0005,Quyền độc lập của Kuwait không được sự chấp thuận của thế lực nào?,những quan chức Iraq,quan chức,True,False,0,0.6666666666666666,,0.1209560000000014,9.872174,-0.120955,SPAN_TOO_SHORT,neural_span,True,7840.662399998109
0006-0012-0001,Tại sao Puerto Rico không được Mỹ ủy quyền?,,Puerto Rico không được tham gia bầu cử tổng thống Hoa Kỳ tại chính,False,False,0,0.0,,4.7176219999999995,5.361251,-4.717622,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7674.744699994335
0010-0002-0007,"Ngòai các lọai cỏ và rau, gà tây còn có thể ăn gì?","ngũ cốc, đậu đỗ, cám bã","ăn ngũ cốc, đậu đỗ, cám",True,False,0,0.8333333333333334,,3.2684390000000008,6.895655,-3.268439,PARTIAL_SPAN,neural_span,True,6962.079299999459
0017-0010-0001,"Trong chiến dịch vận động tranh cử chức Phó Tổng thống năm 1920, trong cái bài diễn văn của mình, Roosevelt đã khẳng định điểu gì?",chính ông đã sọan bản hiến pháp mà Hoa Kỳ áp đặt cho Haiti năm 1915,James Farley,True,False,0,0.0,,9.682306,0.492333,-9.682305,WRONG_SPAN,phrase_fallback,True,9337.064999999711
0006-0001-0005,Dân số Puerto Rico là tập hợp của gì?,,là công dân,False,False,0,0.0,,3.480371,6.565163,-3.480371,UNANSWERABLE_FALSE_POSITIVE,neural_span,,9012.348100004601
0009-0008-0004,Tập hợp tù binh chiến tranh quốc gia đã liên kết với ai?,Tướng Henri Giraud,với,True,False,0,0.0,,3.1085670000000007,6.363693,-3.108566,WRONG_SPAN,neural_span,True,9371.051699999953
0003-0042-0001,Dân số của Canada đang phát triển theo xu thế nào?,dân số già hơn,11,True,False,0,0.0,,4.979601,5.134313,-4.979602,WRONG_SPAN,phrase_fallback,True,25602.964199999406
0017-0054-0004,"Chiến dịch ném bom chiến lược năm 1945, đã gây thiệt hại thế nào cho Đức?",,đã cày nát tất cả các thành phố chính của Đức và cắt đứt các nguồn tiếp tế,False,False,0,0.0,,1.0339299999999998,9.002459,-1.033931,UNANSWERABLE_FALSE_POSITIVE,neural_span,,18929.700699998648
0012-0009-0011,Gandhi đã khuyên những người Ấn Độ làm gì với nguyên tắc bất bạo lực?,phản bác luật mới và chịu đựng hình phạt,đồng hương phản bác luật mới và chịu đựng,True,False,0,0.7777777777777778,,2.4030129999999996,7.754776,-2.403013,PARTIAL_SPAN,neural_span,True,8058.628700004192
0012-0013-0003,Gandhi tổ chức một nhóm người bao gồm những ai?,người giúp cố cựu và người mới từ địa phương,bao gồm người giúp cố cựu và người,True,False,0,0.6666666666666665,,-1.6403020000000001,11.449766,1.640303,SPAN_TOO_SHORT,neural_span,True,18879.340300001786
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,False,7546.498499999871
0001-0070-0001,Nhờ vào đâu mà hình thức cà phê thềm phát triển?,quy họach lại thành phố cùng sự xuất hiện các đại lộ lớn với vỉa hè,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,False,8476.844700002403
