question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type,reader_method,retrieval_hit,latency_ms
0003-0013-0001,Ngôn ngữ nào phổ biến ở Ontario?,Anh ngữ,nói tiếng,True,False,0,0.0,,3.646209,6.494203,-3.646209,WRONG_SPAN,neural_span,True,7820.138199997018
0006-0015-0004,Ngành gì chiếm vị trí quan trọng trong kinh tế của Puerto Rico từ thế kỉ XX trở về trước?,ngành trồng và xuất khẩu mía đường,quanh ngành trồng và xuất khẩu mía,True,False,0,0.8571428571428571,,-0.8977369999999993,10.973339,0.897738,PARTIAL_SPAN,neural_span,True,7257.688000005146
0001-0061-0001,Những khu rừng nào nằm ở phía Đông và Tây trong nội thành Paris?,Rừng Boulogne và rừng Vincennes,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,8012.775399998645
0001-0022-0001,Vì sao nhà vua phải bỏ cung điện owrVersailles để về Paris?,những người nổi dậy tới Versailles,Sau khi tình hình trở,True,False,0,0.0,,6.217034,3.948825,-6.217034,WRONG_SPAN,phrase_fallback,True,9008.333500001754
0019-0028-0003,"Cuộc bầu cử tổng thống Hoa Kỳ năm 2008, ai là người đã dành chiến thắng tại Texas?",John McCain,là John F. Kennedy đắc cử,True,False,0,0.25,,2.1065959999999997,7.689829,-2.106596,SPAN_TOO_LONG,neural_span,True,7655.913900001906
0002-0002-0001,Trong 4.200 tù nhân chính trị được đưa đến Nouvelle- Calédonie từ năm 1873 đến 1876 thì thì có bao nhiêu người định cư tại thuộc địa?,40,năm 1897,True,False,0,0.0,,0.018378000000000227,9.978669,-0.018378,WRONG_SPAN,phrase_fallback,True,8826.13009999477
0015-0035-0002,Ngòai vật ra thì còn có môn thể thao nào góp mặt trong lễ hội Naadam?,"Mông Cổ, bắn cung, đua ngựa","bắn cung, đua",True,False,0,0.6666666666666666,,-0.8298909999999999,10.85321,0.829891,SPAN_TOO_SHORT,neural_span,True,8858.747799997218
0017-0028-0002,Các nhà kinh tế học đề nghị giải pháp gì để giải quyết nền kinh tế Mĩ lúc bấy giờ?,Chi tiêu thâm thủng,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,False,9374.962899993989
0003-0006-0003,Khi nào thì Canada được thống nhất thành một tỉnh?,năm 1841,. Đạo luật Liên minh,True,False,0,0.0,,-0.9896539999999998,11.034809,0.989655,WRONG_SPAN,neural_span,True,7439.391100000648
0012-0006-0003,Ông trở về Ấn Độ từ khi nào?,tháng 6 năm 1891,vào tháng 6 năm,True,False,0,0.75,,-1.0283280000000001,11.145039,1.028328,PARTIAL_SPAN,neural_span,True,8235.378599994874
0004-0033-0001,Phe liên minh có trang bị gì hiện đại hơn Lực lượng Iraq?,,các máy bay trực thăng,False,False,0,0.0,,-0.9016549999999999,10.942213,0.901655,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7348.549499998626
0004-0019-0008,Số lượng quân lính mà Hoa Kỳ đã triệu tập lên đến con số bao nhiêu?,500.000 quân,từ 103 tới 180,True,False,0,0.0,,1.7838579999999986,8.373098,-1.783857,WRONG_SPAN,neural_span,False,9270.505699998466
0017-0068-0001,Có bao nhiêu thường trú nhân gốc ý phải chịu bị giới hạn đi lại khi Ý giao chiến với Hoa Kỳ?,khỏang 600.000,khỏang 600.000 thường trú,True,False,0,0.7499999999999999,,-0.7821049999999996,10.479097,0.782105,SPAN_TOO_LONG,neural_span,True,7756.668399997579
0017-0040-0003,"Trước những đồn đóan rằng thế giới sẽ tham chiến chiến tranh Hoa Kỳ, Roosevelt đã có những phản ứng như thế nào?",,Bullitt.,False,False,0,0.0,,6.379092999999999,3.792166,-6.379093,UNANSWERABLE_FALSE_POSITIVE,sentence_fallback,,9883.102300002065
0001-0029-0004,Cuộc diễu hành lớn nhất ở Pháp sau thế chiến II diễn ra vào thời gian nào?,ngày 10 và 11 tháng 1 năm 2015,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,False,9761.256300000241
0001-0014-0002,Roma có tên gì sau khi bị xâm chiếm bởi đế chế Paris?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,27621.840700005123
0012-0028-0003,Vì sao chính quyền Anh không muốn ông vượt khỏi tù?,,đây là một sự kiện có thể làm lòng căm phẫn của công chúng vượt khỏi tầm kiểm sóat,False,False,0,0.0,,8.014313000000001,2.140042,-8.014313,UNANSWERABLE_FALSE_POSITIVE,phrase_fallback,,19126.60440000036
0003-0026-0003,Nơi nào của Canada có khí hậu tốt nhất vào vào mùa đông?,British Columbia Duyên hải,trong vùng nội địa và các tỉnh,True,False,0,0.0,,3.9473389999999995,6.204333,-3.947339,WRONG_SPAN,neural_span,True,25332.405400004063
0019-0011-0001,Lý do mà một số đòan truyền giáo được ra đời tại Đông Texas vào năm 1690 là gì?,nhà cầm quyền Tây Ban Nha lo ngại rằng Pháp tạo ra mối đe dọa cạnh tranh,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,18175.719600003504
0012-0017-0005,Hiệu quả của chương trình tẩy chay này đạt được như thế nào?,"sức lôi cuốn và thành công rộng lớn, gia lực cho người Ấn chưa từng có từ xưa nay","Thêm vào việc tẩy chay các sản phẩm Anh, Gandhi cũng khuyến khích dân chúng tẩy chay các cơ quan giáo dục và pháp tòa Anh, từ chức không làm cho chính quyền, từ chối không đóng thuế và hủy bỏ những danh hiệu, huy chương Anh.",True,False,0,0.0909090909090909,,9.65901,0.519228,-9.65901,SPAN_TOO_LONG,sentence_fallback,True,7829.9896999960765
0004-0022-0001,"Trước hiện trạng Kuwait bị Mỹ xâm lược, Iraq đã thành lập tổ chức nào để phản đối việc này?",,. Họ tới Thành phố Kuwait một ngày trước khi các lực lượng,False,False,0,0.0,,8.736308,1.414142,-8.736307,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7782.816499995533
0001-0056-0003,Các tòa nhà được thiết kế ở Paris phải theo luật gì để không phá hỏng cảnh quan?,"màu sắc, kiểu cửa sổ",,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,False,8616.387800000666
0007-0015-0004,Nam Ossetia và vùng Bắc Ossetia bị chia cắt bởi gì?,bởi những dãy núi,Gruzia,True,False,0,0.0,,-1.3193079999999995,11.296653,1.319307,WRONG_SPAN,phrase_fallback,True,6374.506500003918
0011-0001-0004,Vai trò của thần học là gì?,"giúp các nhà thần học hiểu rõ hơn về truyền thống tôn giáo của chính mình, về các truyền thống tôn giáo khác, cũng như so sánh giữa các truyền thống tôn giáo khác nhau",người bênh vực cho quyền của người,True,False,0,0.04761904761904761,,2.225949,7.902049,-2.225949,SPAN_TOO_SHORT,neural_span,False,6104.450999999244
